Global Company Key,Data Date,Fiscal Year,Fiscal Quarter,Industry Format,Level of Consolidation - Company Interim Descriptor,Population Source,Data Format,Ticker Symbol,Company Name,ISO Currency Code,Calendar Data Year and Quarter,Fiscal Data Year and Quarter,Active/Inactive Status Marker,Market Value - Total
006066,2022-06-30,2022,2,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2022Q2,2022Q2,A,127519.9842
006066,2022-09-30,2022,3,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2022Q3,2022Q3,A,107419.2101
006066,2022-12-31,2022,4,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2022Q4,2022Q4,A,127659.3019
006066,2023-03-31,2023,1,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2023Q1,2023Q1,A,119035.6191
007647,2008-03-31,2008,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2008Q1,2008Q1,A,168806.0271
007647,2008-06-30,2008,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2008Q2,2008Q2,A,106291.8449
007647,2008-09-30,2008,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2008Q3,2008Q3,A,159671.925
007647,2008-12-31,2008,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2008Q4,2008Q4,A,70645.4989
007647,2009-03-31,2009,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2009Q1,2009Q1,A,43654.479
007647,2009-06-30,2009,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2009Q2,2009Q2,A,114199.2588
007647,2009-09-30,2009,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2009Q3,2009Q3,A,146363.3129
007647,2009-12-31,2009,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2009Q4,2009Q4,A,130272.6746
007647,2010-03-31,2010,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2010Q1,2010Q1,A,179071.2179
007647,2010-06-30,2010,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2010Q2,2010Q2,A,144174.4543
007647,2010-09-30,2010,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2010Q3,2010Q3,A,131466.6198
007647,2010-12-31,2010,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2010Q4,2010Q4,A,134535.9677
007647,2011-03-31,2011,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2011Q1,2011Q1,A,135056.934
007647,2011-06-30,2011,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2011Q2,2011Q2,A,111059.7624
007647,2011-09-30,2011,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2011Q3,2011Q3,A,62022.7238
007647,2011-12-31,2011,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2011Q4,2011Q4,A,58579.8153
007647,2012-03-31,2012,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2012Q1,2012Q1,A,103122.5303
007647,2012-06-30,2012,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2012Q2,2012Q2,A,88154.7884
007647,2012-09-30,2012,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2012Q3,2012Q3,A,95163.2676
007647,2012-12-31,2012,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2012Q4,2012Q4,A,125135.645
007647,2013-03-31,2013,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2013Q1,2013Q1,A,131816.5884
007647,2013-06-30,2013,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2013Q2,2013Q2,A,138156.2403
007647,2013-09-30,2013,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2013Q3,2013Q3,A,147429.2916
007647,2013-12-31,2013,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2013Q4,2013Q4,A,164914.4506
007647,2014-03-31,2014,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2014Q1,2014Q1,A,181116.774
007647,2014-06-30,2014,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2014Q2,2014Q2,A,161628.2303
007647,2014-09-30,2014,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2014Q3,2014Q3,A,179295.9927
007647,2014-12-31,2014,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2014Q4,2014Q4,A,188140.9364
007647,2015-03-31,2015,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2015Q1,2015Q1,A,161908.9714
007647,2015-06-30,2015,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2015Q2,2015Q2,A,178230.6657
007647,2015-09-30,2015,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2015Q3,2015Q3,A,162457.4119
007647,2015-12-31,2015,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2015Q4,2015Q4,A,174699.86
007647,2016-03-31,2016,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2016Q1,2016Q1,A,139427.1632
007647,2016-06-30,2016,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2016Q2,2016Q2,A,135576.6839
007647,2016-09-30,2016,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2016Q3,2016Q3,A,158438.1743
